id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_jalar,satuan,tahun
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,2181,TON,2018
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3084,TON,2018
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,60,TON,2018
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,213,TON,2018
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11584,TON,2018
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,738,TON,2018
153,32,JAWA BARAT,3271,KOTA BOGOR,2565,TON,2018
154,32,JAWA BARAT,3272,KOTA SUKABUMI,407,TON,2018
155,32,JAWA BARAT,3273,KOTA BANDUNG,162,TON,2018
156,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018
157,32,JAWA BARAT,3275,KOTA BEKASI,56,TON,2018
158,32,JAWA BARAT,3276,KOTA DEPOK,50,TON,2018
159,32,JAWA BARAT,3277,KOTA CIMAHI,148,TON,2018
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,618,TON,2018
161,32,JAWA BARAT,3279,KOTA BANJAR,1130,TON,2018
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,49929,TON,2019
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8921,TON,2019
164,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7067,TON,2019
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,33248,TON,2019
166,32,JAWA BARAT,3205,KABUPATEN GARUT,109791,TON,2019
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11642,TON,2019
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2713,TON,2019
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,139820,TON,2019
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,10786,TON,2019
171,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9848,TON,2019
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13360,TON,2019
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2019
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,1664,TON,2019
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2052,TON,2019
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,617,TON,2019
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,79,TON,2019
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13089,TON,2019
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,437,TON,2019
180,32,JAWA BARAT,3271,KOTA BOGOR,2883,TON,2019
181,32,JAWA BARAT,3272,KOTA SUKABUMI,357,TON,2019
182,32,JAWA BARAT,3273,KOTA BANDUNG,22,TON,2019
183,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
184,32,JAWA BARAT,3275,KOTA BEKASI,34,TON,2019
185,32,JAWA BARAT,3276,KOTA DEPOK,24,TON,2019
186,32,JAWA BARAT,3277,KOTA CIMAHI,96,TON,2019
187,32,JAWA BARAT,3278,KOTA TASIKMALAYA,448,TON,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,1480,TON,2019
189,32,JAWA BARAT,3201,KABUPATEN BOGOR,53373,TON,2020
190,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14321,TON,2020
191,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10161,TON,2020
192,32,JAWA BARAT,3204,KABUPATEN BANDUNG,49908,TON,2020
193,32,JAWA BARAT,3205,KABUPATEN GARUT,102099,TON,2020
194,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16001,TON,2020
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2741,TON,2020
196,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,106123,TON,2020
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,8213,TON,2020
198,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17521,TON,2020
199,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14484,TON,2020
200,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2020
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,1364,TON,2020
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1960,TON,2020
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2020
204,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
205,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8450,TON,2020
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,531,TON,2020
207,32,JAWA BARAT,3271,KOTA BOGOR,3056,TON,2020
208,32,JAWA BARAT,3272,KOTA SUKABUMI,220,TON,2020
209,32,JAWA BARAT,3273,KOTA BANDUNG,123,TON,2020
210,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
211,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
212,32,JAWA BARAT,3276,KOTA DEPOK,124,TON,2020
213,32,JAWA BARAT,3277,KOTA CIMAHI,154,TON,2020
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,336,TON,2020
215,32,JAWA BARAT,3279,KOTA BANJAR,909,TON,2020
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,57859,TON,2021
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19429,TON,2021
218,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9495,TON,2021
219,32,JAWA BARAT,3204,KABUPATEN BANDUNG,91689,TON,2021
220,32,JAWA BARAT,3205,KABUPATEN GARUT,120793,TON,2021
221,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12487,TON,2021
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2929,TON,2021
223,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,121978,TON,2021
224,32,JAWA BARAT,3209,KABUPATEN CIREBON,7350,TON,2021
225,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6741,TON,2021
226,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20018,TON,2021
227,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2021
228,32,JAWA BARAT,3213,KABUPATEN SUBANG,1662,TON,2021
229,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2816,TON,2021
230,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2021
231,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
232,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9222,TON,2021
233,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,790,TON,2021
234,32,JAWA BARAT,3271,KOTA BOGOR,3473,TON,2021
235,32,JAWA BARAT,3272,KOTA SUKABUMI,44,TON,2021
236,32,JAWA BARAT,3273,KOTA BANDUNG,75,TON,2021
237,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
238,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
239,32,JAWA BARAT,3276,KOTA DEPOK,103,TON,2021
240,32,JAWA BARAT,3277,KOTA CIMAHI,149,TON,2021
241,32,JAWA BARAT,3278,KOTA TASIKMALAYA,393,TON,2021
242,32,JAWA BARAT,3279,KOTA BANJAR,425,TON,2021
