id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,519,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,377,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1410,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,5905,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,790,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,182,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4746,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,359,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,384,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,686,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,104,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,146,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,39,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,409,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,156,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,21,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,6,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,3,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,5,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,10,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,36,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,97,HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,2861,HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,930,HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,546,HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2263,HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,5174,HEKTAR,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,855,HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,200,HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4340,HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,332,HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,467,HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1007,HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,86,HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,135,HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,366,HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,42,HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,192,HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,13,HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,12,HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,10,HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,8,HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,26,HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,109,HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,2621,HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,890,HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,515,HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2488,HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,5472,HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,672,HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,136,HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3789,HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,277,HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,236,HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,896,HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,91,HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,129,HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,355,HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,26,HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,197,HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,2,HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,3,HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,6,HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,12,HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16,HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,74,HEKTAR,2021
