id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
100,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,114,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,45,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,68,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,103,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,960,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,146,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,101,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1773,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1669,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,46,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,195,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,248,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,55,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,966,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,23,HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,113,HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,661,HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,514,HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1022,HEKTAR,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31,HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,34,HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,129,HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,1904,HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1794,HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,182,HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,615,HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,59,HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58,HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,186,HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,189,HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,5,HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,124,HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,109,HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,118,HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,243,HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,651,HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9,HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,132,HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,127,HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,1797,HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1666,HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,137,HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,110,HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,80,HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,121,HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,257,HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,172,HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,41,HEKTAR,2021
