id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
100,32,JAWA BARAT,3271,KOTA BOGOR,96,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,3,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,7,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,5,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,10,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,101,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,129,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,809,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1986,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3450,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,401,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,11816,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1732,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,649,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,384,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,59,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,371,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3454,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,155,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,246,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,290,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,285,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,206,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,134,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,12,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,5,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,11,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,175,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,154,HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,759,HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3953,HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2746,HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1053,HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,8985,HEKTAR,2020
