id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_kayu,satuan,tahun
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,228015,TON,2019
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,273,TON,2019
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,25275,TON,2019
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31859,TON,2019
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1518,TON,2019
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,201,TON,2019
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,84138,TON,2019
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1083,TON,2019
180,32,JAWA BARAT,3271,KOTA BOGOR,6598,TON,2019
181,32,JAWA BARAT,3272,KOTA SUKABUMI,256,TON,2019
182,32,JAWA BARAT,3273,KOTA BANDUNG,205,TON,2019
183,32,JAWA BARAT,3274,KOTA CIREBON,80,TON,2019
184,32,JAWA BARAT,3275,KOTA BEKASI,238,TON,2019
185,32,JAWA BARAT,3276,KOTA DEPOK,818,TON,2019
186,32,JAWA BARAT,3277,KOTA CIMAHI,583,TON,2019
187,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5427,TON,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,3234,TON,2019
189,32,JAWA BARAT,3201,KABUPATEN BOGOR,114475,TON,2020
190,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,180841,TON,2020
191,32,JAWA BARAT,3203,KABUPATEN CIANJUR,92057,TON,2020
192,32,JAWA BARAT,3204,KABUPATEN BANDUNG,97758,TON,2020
193,32,JAWA BARAT,3205,KABUPATEN GARUT,428933,TON,2020
194,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,56496,TON,2020
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70464,TON,2020
196,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,46503,TON,2020
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,1107,TON,2020
198,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6264,TON,2020
199,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,195033,TON,2020
200,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,364,TON,2020
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,28466,TON,2020
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,26761,TON,2020
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,648,TON,2020
204,32,JAWA BARAT,3216,KABUPATEN BEKASI,65,TON,2020
205,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80466,TON,2020
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2557,TON,2020
207,32,JAWA BARAT,3271,KOTA BOGOR,5309,TON,2020
208,32,JAWA BARAT,3272,KOTA SUKABUMI,482,TON,2020
209,32,JAWA BARAT,3273,KOTA BANDUNG,289,TON,2020
210,32,JAWA BARAT,3274,KOTA CIREBON,120,TON,2020
