id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2751,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1717,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,27,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,227,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6750,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,702,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1087,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,95,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,17,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2236,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,267,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,11,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,12,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,24,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,34,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,29,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,212,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,145,HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,3644,HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4220,HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3313,HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3007,HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,16451,HEKTAR,2020
