id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
128,32,JAWA BARAT,3272,KOTA SUKABUMI,12,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,13,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,25,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,35,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,31,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,121,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,137,HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,3804,HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5042,HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3458,HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3295,HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,15701,HEKTAR,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2376,HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1496,HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1782,HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,45,HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,269,HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6088,HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10,HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1268,HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,971,HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12,HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1792,HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,53,HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,203,HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,18,HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,13,HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,6,HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,34,HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,32,HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,32,HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,131,HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,115,HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,3447,HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9877,HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2406,HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4621,HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,18560,HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1599,HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1921,HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1316,HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,56,HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,214,HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5100,HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11,HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,801,HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,651,HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9,HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1831,HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,61,HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,172,HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,4,HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,11,HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,1,HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,32,HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,16,HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,60,HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63,HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,98,HEKTAR,2021
