id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kedelai,satuan,tahun
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2232,TON,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,918,TON,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,879,TON,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,104,TON,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,528,TON,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,612,TON,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,TON,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77,TON,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1132,TON,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,950,TON,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,274,TON,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21,TON,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,232,TON,2021
