id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2019,248,576,104,308,148
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2019,55,970,146,288,245
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2019,966,67,39,1625,290
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2019,3,29,4,0,7
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2019,13,2496,409,2715,301
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2019,69,64,28,114,222
127,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2019,0,234,156,0,140
128,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2019,0,12,21,0,4
129,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2019,0,13,6,0,15
130,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2019,0,4,0,0,2
131,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2019,0,25,3,0,0
132,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2019,0,35,5,0,8
133,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2019,0,31,10,0,11
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2019,0,121,36,0,175
135,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2019,23,137,97,57,154
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2020,113,3804,2861,14,812
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2020,661,5042,930,23802,4260
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2020,514,3458,546,12060,2761
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2020,0,3295,2263,684,1050
140,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2020,1022,15701,5174,4945,8983
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2020,31,2376,855,4115,2167
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2020,34,1496,200,48,731
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2020,129,1782,4340,629,619
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2020,1904,45,332,68,114
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2020,1794,269,467,3367,426
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2020,182,6088,1007,2176,2668
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2020,615,10,0,6,18
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2020,59,1268,86,2,826
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2020,58,971,135,745,183
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2020,186,12,0,56,112
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2020,0,6,0,0,1
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2020,0,1792,366,1134,394
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2020,189,53,42,170,217
154,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2020,0,203,192,0,137
