id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2018,92,47,3,75,15
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2018,3593,374,18,2615,447
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2018,2674,122,627,69,46
100,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2018,0,96,0,232,167
101,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2018,0,3,0,12,22
102,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2018,0,2,0,27,13
103,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2018,0,7,4,10,0
104,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2018,0,0,0,14,5
105,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2018,0,5,0,26,5
106,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2018,0,10,0,23,13
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2018,44,101,0,150,53
108,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2018,863,129,114,105,75
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2019,292,809,45,4011,2570
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2019,5849,1986,57,4554,542
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2019,4894,3450,103,3513,395
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2019,1805,401,0,2300,1444
113,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2019,9143,11816,960,20838,6006
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2019,4431,1732,55,2039,694
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2019,614,649,141,2751,198
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2019,405,384,106,1717,4747
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2019,387,59,1194,27,360
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2019,1289,371,1669,227,304
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2019,2340,3454,46,6750,744
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2019,21,25,192,8,0
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2019,194,155,248,702,99
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2019,250,246,56,1087,141
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2019,1625,290,1090,95,40
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2019,0,7,3,17,8
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2019,2527,285,12,2236,435
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2019,117,206,69,70,33
127,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2019,0,134,0,267,174
128,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2019,0,4,0,11,22
129,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2019,0,12,0,12,2
130,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2019,0,2,0,4,0
131,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2019,0,0,0,24,3
132,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2019,0,5,0,34,3
133,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2019,0,11,0,29,8
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2019,0,175,0,212,43
135,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2019,57,154,23,145,97
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2020,12,759,14,3644,2738
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2020,23664,3953,676,4220,895
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2020,11987,2746,516,3313,501
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2020,684,1053,0,3007,2290
140,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2020,4945,8985,1022,16451,5313
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2020,4075,2097,32,2030,816
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2020,39,698,6,1522,185
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2020,631,536,107,1609,4380
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2020,68,111,1904,46,332
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2020,2924,432,1794,258,539
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2020,2176,2668,182,6080,958
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2020,6,18,553,10,0
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2020,0,832,59,926,95
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2020,740,190,57,856,149
